,,,ntsc_0.9,,,ntsc_1.0,,,ntsc_1.1,,,pal_1.0,,,ntsc_1.2,,,pal_1.1,,,jp_gc,,,jp_mq,,,usa_gc,,,usa_mq,,,pal_gc,,,pal_gc_dbg1,,,pal_gc_dbg2,,,pal_mq,,,pal_mq_dbg,,,jp_gc_ce,,,ique_cn,,,ique_tw,,,
Debug rom,Pal MQ retail,Notes,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,iQue
z_fbdemo_triforce.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,955C0,800B2420,5D0,955C0,800B2420,5D0,087070,80097F70,5C0,955A0,800B2400,5D0,,,,,,,,,,
z_fbdemo_wipe1.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95B90,800B29F0,460,95B90,800B29F0,460,087630,80098530,470,95B70,800B29D0,460,,,,,,,,,,
z_fbdemo_circle.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95FF0,800B2E50,6B0,95FF0,800B2E50,6B0,087AA0,800989A0,6C0,95FD0,800B2E30,6B0,,,,,,,,,,
z_fbdemo_fade.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,966A0,800B3500,360,966A0,800B3500,360,088160,80099060,360,96680,800B34E0,360,,,,,,,,,,
shrink_window.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96A00,800B3860,310,96A00,800B3860,310,0884C0,800993C0,170,969E0,800B3840,310,,,,,,,,,,
db_camera.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96D10,800B3B70,7550,96D10,800B3B70,7550,,,,96CF0,800B3B50,7550,,,,,,,,,,
code_800BB0A0.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9E260,800BB0C0,4D0,9E260,800BB0C0,4D0,088630,80099530,4D0,9E240,800BB0A0,4D0,,,,,,,,,,
mempak.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9E730,800BB590,720,9E730,800BB590,720,,,,9E710,800BB570,720,,,,,,,,,,
z_kaleido_manager.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9EE50,800BBCB0,330,9EE50,800BBCB0,330,088B00,80099A00,230,9EE30,800BBC90,330,,,,,,,,,,
z_kaleido_scope_call.c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9F180,800BBFE0,490,9F180,800BBFE0,490,088D30,80099C30,2E0,9F160,800BBFC0,490,,,,,,,,,,
